iter	MultiClass
323	0.7834588418
324	0.7830255119
325	0.7817154625
326	0.7814818863
327	0.7806372905
328	0.7801211302
329	0.7794334874
330	0.7784113748
331	0.777742971
332	0.7772763971
333	0.776889683
334	0.775882676
335	0.7752254114
336	0.7745962121
337	0.7741033447
338	0.7735950507
339	0.7732451838
340	0.7727319065
341	0.7721849106
342	0.7716284926
343	0.7708491028
344	0.7703667834
345	0.7700147842
346	0.7694300168
347	0.7684015392
348	0.7675041875
349	0.766715101
350	0.7664262639
351	0.7661298424
352	0.7656332469
353	0.765176713
354	0.7645175227
355	0.7639881277
356	0.7634216591
357	0.762891223
358	0.7624449508
359	0.7618903698
360	0.7612280794
361	0.7605200185
362	0.7599639918
363	0.7593407914
364	0.758955746
365	0.7583957468
366	0.7577020658
367	0.7570181789
368	0.756741311
369	0.7565157032
370	0.7558362708
371	0.7555019223
372	0.75500934
373	0.7544035551
374	0.7541128169
375	0.7535705384
376	0.7532288078
377	0.7530357468
378	0.7526839267
379	0.7519059109
380	0.7511828354
381	0.7505433038
382	0.7501110624
383	0.7494958796
384	0.749221123
385	0.7483708923
386	0.7477899094
387	0.747571289
388	0.7466051709
389	0.746288091
390	0.7457524241
391	0.7451183419
392	0.7448721631
393	0.7443831561
394	0.7438023061
395	0.7433536723
396	0.7429042131
397	0.7419796288
398	0.7417169988
399	0.7411469173
